image,top_3_songs,top_3_scores,bottom_3_songs,bottom_3_scores
有哪裡不行_0374.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[17.4878, 12.7272, 12.7066]","['Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Nintendo Wii - Mii Channel Theme.mp3']","[8.7815, 8.8153, 9.0571]"
現在說這種話的時候嗎_0566.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Sneaky Adventure - Background Music (HD).mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[20.3879, 16.1512, 15.2147]","['Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Spongebob Music - Background Music (HD).mp3']","[9.1787, 9.5527, 9.7799]"
妳們兩個_別在這吵架嘛_0481.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[19.7534, 14.2769, 13.7982]","['Spongebob Music - Background Music (HD).mp3', 'Nintendo Wii - Mii Channel Theme.mp3', 'Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3']","[8.3421, 8.7641, 8.9066]"
不想吃嗎_0288.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'Nintendo Wii - Mii Channel Theme.mp3']","[18.5534, 15.1178, 14.872]","['Wii Shop Channel Main Theme (HQ).mp3', 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', 'Sneaky Adventure - Background Music (HD).mp3']","[10.2793, 10.882, 10.908]"
樂團不需要我了吧.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Kirby dream land theme song.mp3', '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3']","[17.3078, 14.1911, 13.6954]","['Wii Shop Channel Main Theme (HQ).mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3']","[8.3806, 8.8418, 8.9437]"
肯定會一秒拿光的啦_0609.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'Nothing Beats a Jet2holiday ｜ Sale ｜ Family ｜ TV advert.mp3', ""It's Going Down Now.mp3""]","[13.8199, 11.5872, 11.5365]","['Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3', 'sans..mp3', 'Scheming Weasel Faster (Kevin Macleod) - Background Music (HD).mp3']","[6.9361, 7.1319, 8.0819]"
再這樣下去妳們會一起完蛋的_0359.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[21.1827, 18.0712, 17.8553]","['Wonder (Piranha Plants on Parade) ｜ Super Mario Bros. Wonder OST.mp3', '🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Spongebob Music - Background Music (HD).mp3']","[12.6327, 12.6838, 13.2646]"
我為撞倒妳的事向妳道歉_0342.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3', 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3']","[16.3588, 15.9804, 13.0238]","['Wii Shop Channel Main Theme (HQ).mp3', 'Nintendo Wii - Mii Channel Theme.mp3', 'Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3']","[9.212, 9.934, 10.0912]"
不_她一直不省人事_0676.jpg,"['Nintendo Wii - Mii Channel Theme.mp3', 'Sneaky Adventure - Background Music (HD).mp3', 'Curb Your Enthusiasm Meme (Frolic) - Background Music (HD).mp3']","[16.9138, 16.6752, 16.0626]","['Wii Shop Channel Main Theme (HQ).mp3', 'Spongebob Music - Background Music (HD).mp3', 'Amazing Plan - Distressed - Kevin MacLeod.mp3']","[11.9144, 12.5746, 12.8891]"
抱歉_我們遲到了_0090.jpg,"[""春日影（アニメ「BanG Dream! It's MyGO!!!!!」#7 挿入歌）.mp3"", 'HUNTER X HUNTER OST 3 ＂KINGDOM OF PREDATORS＂ (TIKTOK MEME SOUNDTRACK).mp3', '【Official Music Video】栞 ⧸ MyGO!!!!!【オリジナル楽曲】.mp3']","[18.3818, 13.6554, 13.6543]","['🎵 Happy Boy End Theme - Kevin MacLeod 🎧 No Copyright Music 🎶 YouTube Audio Library.mp3', 'Wii Shop Channel Main Theme (HQ).mp3', 'Nintendo Wii - Mii Channel Theme.mp3']","[9.5545, 9.6403, 9.7243]"
