image,top_3_songs,top_3_scores,bottom_3_songs,bottom_3_scores
13_妳在開玩笑嗎.jpg,"['084154.mp3', '036388.mp3', '132456.mp3']","[0.155, 0.1471, 0.1438]","['068600.mp3', '096403.mp3', '122358.mp3']","[0.0342, 0.0354, 0.0407]"
1045_所以我都道歉了嘛.jpg,"['058221.mp3', '087322.mp3', '054236.mp3']","[0.1791, 0.1742, 0.1739]","['122358.mp3', '110447.mp3', '062531.mp3']","[0.0382, 0.0409, 0.0491]"
245_所以妳要問什麼.jpg,"['087322.mp3', '012527.mp3', '064366.mp3']","[0.1851, 0.1827, 0.1825]","['096403.mp3', '122358.mp3', '110447.mp3']","[0.0433, 0.0465, 0.0506]"
1173_我沒辦法信任妳耶.jpg,"['070426.mp3', '087324.mp3', '027547.mp3']","[0.1774, 0.1766, 0.1764]","['122358.mp3', '096403.mp3', '110447.mp3']","[0.0637, 0.067, 0.0672]"
31_妳到底是怎樣啊.jpg,"['084154.mp3', '132456.mp3', '036388.mp3']","[0.1649, 0.1588, 0.1553]","['096403.mp3', '122358.mp3', '068600.mp3']","[0.0445, 0.0511, 0.0513]"
508_還是愛得不夠.jpg,"['084154.mp3', '036388.mp3', '039530.mp3']","[0.1881, 0.1867, 0.1837]","['122358.mp3', '110447.mp3', '062185.mp3']","[0.0651, 0.0723, 0.0758]"
451_那將是我們的無上喜悅.jpg,"['021232.mp3', '055285.mp3', '027547.mp3']","[0.178, 0.178, 0.178]","['110447.mp3', '122358.mp3', '073770.mp3']","[0.0498, 0.0516, 0.0563]"
449_謝謝.jpg,"['084154.mp3', '036388.mp3', '048015.mp3']","[0.1803, 0.1754, 0.1656]","['122358.mp3', '110447.mp3', '096403.mp3']","[0.0321, 0.0343, 0.0367]"
43_爽世大小眼.jpg,"['149687.mp3', '149953.mp3', '032687.mp3']","[0.1841, 0.1841, 0.1841]","['096403.mp3', '115699.mp3', '096718.mp3']","[0.0527, 0.0693, 0.072]"
167_妳到底想幹嘛.jpg,"['087322.mp3', '058221.mp3', '140872.mp3']","[0.1828, 0.1795, 0.1776]","['122358.mp3', '027804.mp3', '110447.mp3']","[0.0404, 0.055, 0.0573]"
807_那我真是選對地方了_`G6^.jpg,"['009560.mp3', '013927.mp3', '055288.mp3']","[0.244, 0.2361, 0.2355]","['003778.mp3', '000705.mp3', '060144.mp3']","[0.0836, 0.0846, 0.0897]"
1230_想和大家彼此信任.jpg,"['027552.mp3', '055293.mp3', '058221.mp3']","[0.2358, 0.232, 0.2251]","['014316.mp3', '098339.mp3', '080755.mp3']","[0.0821, 0.0822, 0.0822]"
496_我知道了.jpg,"['084154.mp3', '036388.mp3', '048015.mp3']","[0.1805, 0.1761, 0.1641]","['110447.mp3', '122358.mp3', '108970.mp3']","[0.0454, 0.0499, 0.0548]"
"726_妳們兩個,別在這吵架嘛.jpg","['087322.mp3', '009560.mp3', '054236.mp3']","[0.2003, 0.1947, 0.1932]","['122358.mp3', '110447.mp3', '027804.mp3']","[0.0471, 0.0564, 0.0608]"
135_到現在還執著於過去，真難看.jpg,"['140872.mp3', '055402.mp3', '134941.mp3']","[0.2114, 0.2087, 0.2055]","['060144.mp3', '107951.mp3', '004079.mp3']","[0.052, 0.057, 0.0575]"
664_我才數到3喔.jpg,"['142579.mp3', '127266.mp3', '013927.mp3']","[0.1897, 0.188, 0.1868]","['096403.mp3', '096718.mp3', '122358.mp3']","[0.0359, 0.0566, 0.061]"
1014_她沒在睡啊.jpg,"['084154.mp3', '036388.mp3', '048015.mp3']","[0.1812, 0.1773, 0.1573]","['096403.mp3', '110447.mp3', '038887.mp3']","[0.0358, 0.0403, 0.0431]"
745_小睦是個可愛的孩子.jpg,"['064364.mp3', '084154.mp3', '036388.mp3']","[0.1348, 0.1236, 0.1215]","['110086.mp3', '068600.mp3', '147412.mp3']","[0.0032, 0.0049, 0.0049]"
551_妳這個人滿腦子都只想到自己呢.jpg,"['055293.mp3', '142511.mp3', '021707.mp3']","[0.194, 0.1939, 0.1913]","['107951.mp3', '060144.mp3', '033068.mp3']","[0.0819, 0.087, 0.0891]"
291_我也會努力看看的.jpg,"['012527.mp3', '087324.mp3', '064366.mp3']","[0.1867, 0.1866, 0.1865]","['122358.mp3', '096403.mp3', '027804.mp3']","[0.0397, 0.0515, 0.0597]"
59_我沒說過那種話.jpg,"['087324.mp3', '087322.mp3', '113271.mp3']","[0.2088, 0.2085, 0.2072]","['060144.mp3', '062529.mp3', '115267.mp3']","[0.0609, 0.0654, 0.0662]"
207_過來吧.jpg,"['064364.mp3', '055293.mp3', '013927.mp3']","[0.1707, 0.1698, 0.1687]","['122358.mp3', '110447.mp3', '054468.mp3']","[0.0465, 0.0494, 0.0591]"
1178_把那個畫面關掉.jpg,"['036388.mp3', '084154.mp3', '048015.mp3']","[0.1886, 0.1813, 0.171]","['038827.mp3', '122358.mp3', '038775.mp3']","[0.0522, 0.0633, 0.0634]"
1090_妳別再講話了.jpg,"['084154.mp3', '036388.mp3', '113932.mp3']","[0.1798, 0.178, 0.1706]","['122358.mp3', '038827.mp3', '027804.mp3']","[0.0498, 0.0559, 0.0568]"
242_那些妳全都知道卻一直在背叛她嗎.jpg,"['084154.mp3', '036388.mp3', '048015.mp3']","[0.1823, 0.1728, 0.172]","['122358.mp3', '110447.mp3', '054468.mp3']","[0.0383, 0.0431, 0.0525]"
566_我是_Ave_Mujica的Oblivionis.jpg,"['055288.mp3', '064366.mp3', '027547.mp3']","[0.2012, 0.1994, 0.1967]","['096403.mp3', '096718.mp3', '122358.mp3']","[0.0373, 0.0648, 0.0689]"
841_妳們剛才在聊什麼啊.jpg,"['084154.mp3', '036388.mp3', '132456.mp3']","[0.1704, 0.1614, 0.147]","['110447.mp3', '054468.mp3', '004079.mp3']","[0.0296, 0.0417, 0.0459]"
176_那當然是騙人的啊.jpg,"['012527.mp3', '055285.mp3', '027547.mp3']","[0.1962, 0.1954, 0.1954]","['096403.mp3', '072072.mp3', '038887.mp3']","[0.0391, 0.0494, 0.05]"
989_不太妙吧.jpg,"['084154.mp3', '036388.mp3', '132456.mp3']","[0.1693, 0.1626, 0.1551]","['122358.mp3', '110447.mp3', '096403.mp3']","[0.0265, 0.0386, 0.042]"
1123_謝謝大家.jpg,"['055288.mp3', '087324.mp3', '027547.mp3']","[0.2749, 0.2683, 0.2612]","['107951.mp3', '096403.mp3', '034257.mp3']","[0.0824, 0.0839, 0.0857]"
898_為什麼話題會變成這樣.jpg,"['013927.mp3', '087322.mp3', '129391.mp3']","[0.177, 0.176, 0.1735]","['110447.mp3', '122358.mp3', '027804.mp3']","[0.0486, 0.0527, 0.0603]"
531_什麼事都願意做.jpg,"['070426.mp3', '055285.mp3', '027547.mp3']","[0.1862, 0.1819, 0.1819]","['096403.mp3', '122358.mp3', '068600.mp3']","[0.0201, 0.0476, 0.0487]"
1082_可以讓我先在這裡等嗎.jpg,"['021232.mp3', '055285.mp3', '027547.mp3']","[0.1953, 0.1953, 0.1953]","['096403.mp3', '122358.mp3', '073770.mp3']","[0.0466, 0.055, 0.0667]"
252_我們一定傷害到妳了吧.jpg,"['055293.mp3', '087322.mp3', '059653.mp3']","[0.2229, 0.2226, 0.2194]","['004079.mp3', '107952.mp3', '110447.mp3']","[0.0567, 0.0612, 0.0647]"
780_為了這目標我什麼都肯做.jpg,"['140872.mp3', '043586.mp3', '037423.mp3']","[0.2, 0.196, 0.193]","['118505.mp3', '107951.mp3', '033068.mp3']","[0.0694, 0.0903, 0.0934]"
2_因為我很想要嘛.jpg,"['036388.mp3', '084154.mp3', '048015.mp3']","[0.1599, 0.1569, 0.1457]","['110447.mp3', '122358.mp3', '041570.mp3']","[0.015, 0.024, 0.0283]"
165_我哪有可能有辦法.jpg,"['087324.mp3', '113271.mp3', '142579.mp3']","[0.1884, 0.1875, 0.1869]","['057665.mp3', '059709.mp3', '076069.mp3']","[0.0469, 0.0469, 0.0497]"
769_把事情弄得一團糟呢.jpg,"['140872.mp3', '064366.mp3', '027547.mp3']","[0.168, 0.165, 0.1649]","['122358.mp3', '027804.mp3', '110447.mp3']","[0.0458, 0.0497, 0.0575]"
649_太棒了.jpg,"['013927.mp3', '055288.mp3', '021707.mp3']","[0.1873, 0.1856, 0.1801]","['122358.mp3', '027804.mp3', '044950.mp3']","[0.0559, 0.0598, 0.0659]"
1009_太好了.jpg,"['058221.mp3', '055288.mp3', '140872.mp3']","[0.1666, 0.1638, 0.1635]","['118505.mp3', '006366.mp3', '003896.mp3']","[0.0541, 0.0585, 0.0593]"
453_那真是太好了.jpg,"['084154.mp3', '043018.mp3', '036388.mp3']","[0.1449, 0.1394, 0.138]","['096403.mp3', '122358.mp3', '110447.mp3']","[0.0279, 0.0309, 0.032]"
947_幸福到底是什麼呢.jpg,"['087322.mp3', '013927.mp3', '054236.mp3']","[0.1911, 0.1866, 0.1818]","['060144.mp3', '080753.mp3', '115267.mp3']","[0.0535, 0.06, 0.0601]"
459_Amoris.jpg,"['058221.mp3', '055288.mp3', '054236.mp3']","[0.2012, 0.1998, 0.1986]","['024700.mp3', '115267.mp3', '060864.mp3']","[0.0758, 0.0782, 0.0786]"
715_唉呀_妳聽見啦.jpg,"['149687.mp3', '149953.mp3', '032687.mp3']","[0.1838, 0.1838, 0.1838]","['038783.mp3', '038775.mp3', '003896.mp3']","[0.0643, 0.0643, 0.0644]"
72_交給我吧.jpg,"['074386.mp3', '070426.mp3', '012527.mp3']","[0.1936, 0.1901, 0.1892]","['096403.mp3', '096718.mp3', '068600.mp3']","[0.0211, 0.0467, 0.054]"
887_有哪裡不行.jpg,"['064366.mp3', '129391.mp3', '012527.mp3']","[0.1681, 0.168, 0.168]","['122358.mp3', '027804.mp3', '110447.mp3']","[0.0372, 0.0506, 0.0531]"
621_無論發生什麼事.jpg,"['055288.mp3', '087324.mp3', '027547.mp3']","[0.2672, 0.2633, 0.2611]","['107951.mp3', '096403.mp3', '080693.mp3']","[0.091, 0.0928, 0.0935]"
169_從來不覺得玩樂團開心過.jpg,"['009560.mp3', '055288.mp3', '054236.mp3']","[0.2356, 0.2313, 0.2199]","['096403.mp3', '118505.mp3', '003778.mp3']","[0.0708, 0.0742, 0.0796]"
1033_我去找醫生商量.jpg,"['036388.mp3', '084154.mp3', '007713.mp3']","[0.1827, 0.1816, 0.1797]","['122358.mp3', '004079.mp3', '059709.mp3']","[0.0711, 0.0729, 0.0734]"
484_我不允許妳有任何一點失誤.jpg,"['055293.mp3', '129391.mp3', '087322.mp3']","[0.1893, 0.1881, 0.1879]","['122358.mp3', '110447.mp3', '027804.mp3']","[0.0595, 0.0697, 0.0702]"
244_真是稀奇呢.jpg,"['084154.mp3', '036388.mp3', '132456.mp3']","[0.1532, 0.1499, 0.1467]","['096403.mp3', '122358.mp3', '068600.mp3']","[0.0294, 0.0306, 0.0339]"
838_她是像死掉一樣睡著了.jpg,"['140872.mp3', '014738.mp3', '055293.mp3']","[0.1758, 0.1707, 0.1681]","['122358.mp3', '038783.mp3', '038775.mp3']","[0.0537, 0.0595, 0.0595]"
557_我不能上飛機.jpg,"['140872.mp3', '058221.mp3', '014738.mp3']","[0.1974, 0.1911, 0.1901]","['080753.mp3', '060864.mp3', '043519.mp3']","[0.059, 0.0622, 0.0625]"
1116_是嗎.jpg,"['013927.mp3', '055288.mp3', '127266.mp3']","[0.2187, 0.2097, 0.2065]","['096403.mp3', '096718.mp3', '049073.mp3']","[0.008, 0.0341, 0.0532]"
317_她也會緊張吧.jpg,"['084154.mp3', '132456.mp3', '036388.mp3']","[0.1792, 0.1682, 0.1682]","['096403.mp3', '068600.mp3', '147412.mp3']","[0.0375, 0.0455, 0.0515]"
1137_不需要的人是妳.jpg,"['014738.mp3', '058221.mp3', '055288.mp3']","[0.1918, 0.1917, 0.1899]","['129398.mp3', '027804.mp3', '122358.mp3']","[0.0453, 0.0474, 0.0511]"
606_噓.jpg,"['084154.mp3', '036388.mp3', '130923.mp3']","[0.1777, 0.1739, 0.1689]","['110447.mp3', '122358.mp3', '056520.mp3']","[0.0514, 0.0532, 0.0591]"
833_只靠我一個人沒辦法彌補.jpg,"['140872.mp3', '058221.mp3', '014738.mp3']","[0.1783, 0.1736, 0.173]","['062529.mp3', '004079.mp3', '110447.mp3']","[0.0449, 0.0453, 0.0504]"
"1007_天啊,真的好可愛喔_`.jpg","['084154.mp3', '036388.mp3', '048015.mp3']","[0.1618, 0.1578, 0.1525]","['122358.mp3', '027804.mp3', '041570.mp3']","[0.0083, 0.0211, 0.0271]"
1058_討厭啦.jpg,"['121739.mp3', '070426.mp3', '122085.mp3']","[0.1696, 0.1693, 0.1514]","['122358.mp3', '110447.mp3', '027804.mp3']","[0.0363, 0.0493, 0.0497]"
993_不用擔心.jpg,"['134034.mp3', '043018.mp3', '124755.mp3']","[0.1637, 0.1502, 0.1449]","['108867.mp3', '105887.mp3', '122358.mp3']","[0.0497, 0.0528, 0.0644]"
1235_我可沒有妳那麼M.jpg,"['021232.mp3', '055285.mp3', '027547.mp3']","[0.1693, 0.1693, 0.1693]","['122358.mp3', '110447.mp3', '096403.mp3']","[0.0518, 0.055, 0.0566]"
779_歡迎妳今天蒞臨本節目.jpg,"['021232.mp3', '055285.mp3', '027547.mp3']","[0.1964, 0.1964, 0.1964]","['096403.mp3', '096718.mp3', '034257.mp3']","[0.0252, 0.0362, 0.0363]"
858_就是說啊.jpg,"['058221.mp3', '064366.mp3', '055288.mp3']","[0.1851, 0.1814, 0.1807]","['122358.mp3', '110447.mp3', '027804.mp3']","[0.0627, 0.0692, 0.0696]"
830_到底為什麼.jpg,"['140872.mp3', '084154.mp3', '036388.mp3']","[0.1812, 0.1755, 0.1699]","['004079.mp3', '110447.mp3', '038827.mp3']","[0.0311, 0.0349, 0.045]"
900_祥子.jpg,"['054236.mp3', '055293.mp3', '027552.mp3']","[0.2295, 0.2262, 0.2257]","['107951.mp3', '098339.mp3', '080755.mp3']","[0.0839, 0.0872, 0.0872]"
426_我會盡可能不造成妳太多負擔的.jpg,"['113701.mp3', '021707.mp3', '087322.mp3']","[0.1882, 0.1849, 0.184]","['118505.mp3', '110447.mp3', '122358.mp3']","[0.0513, 0.0541, 0.0661]"
972_要從那邊開始講嗎.jpg,"['140872.mp3', '022481.mp3', '069564.mp3']","[0.1996, 0.1872, 0.186]","['003778.mp3', '027611.mp3', '027610.mp3']","[0.0501, 0.0572, 0.0585]"
